,parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period,strctid,x,y,value_matc,geometry
59,,,,W1,,1989,1,,,,,,,,,,12893,,,,,Low - Code,,,,W1,,,b91089f5-b4dc-4c65-8249-d8321e5756fa,5712,1,193,0.0,0.0,-0.026324,0.35,41007022712044003S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
60,,,,W1,,1970,1,,,,,,,,,,1931,,,,,Pre - Code,,,,W1,,,8f2aa279-a3fe-4569-acc3-d942e42eb353,5711,1,193,0.0,0.0,0.232739,0.35,41007021215008006S,-123.912239075,46.0109291077,0,POINT (-123.9122373395464 46.01093032477119)
61,,,,W1,,1972,1,,,,,,,,,,6902,,,,,Pre - Code,,,,W1,,,f214251f-0268-4c0b-b1ff-849e69ebf3fa,5710,1,193,0.0,0.0,-1.037119,0.35,41007020933038022S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
62,,,,W1,,2009,1,,,,,,,,,,388,,,,,High - Code,,,,W1,,,38f5cc7d-f4e1-439a-99cb-f7d21193872c,5709,1,200,388.0,0.0,-14.826966,0.35,41007022416079032S,-123.905845642,45.9979476929,1,POINT (-123.9058460072767 45.99794932851639)
63,,,,RC,,0,1,,,,,,,,,,1320,,,,,Pre - Code,,,,RC,,,b6d5624b-b936-45da-ac36-74502ca94370,5707,1,400,0.0,1320.0,-1.670295,0.4,41007025753002001S,-123.922706604,45.9797515869,0,POINT (-123.9227034741578 45.97975121213025)
64,,,,W1,,1973,1,,,,,,,,,,10159,,,,,Pre - Code,,,,W1,,,6d2d8fe7-8c84-497f-b349-837a9594d94f,5705,1,191,0.0,0.0,-1.037119,0.35,41007020933038017S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
65,,,,W1,,1973,1,,,,,,,,,,3926,,,,,Pre - Code,,,,W1,,,e9edf67a-2795-4954-b5da-1f21017ac747,5704,1,191,0.0,0.0,-1.102866,0.35,41007021185022020S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
66,,,,W1,,1994,1,,,,,,,,,,39691,,,,,Moderate - Code,,,,W1,,,8a89e8b0-0833-4c74-b5e2-f804ff6374ba,5703,1,193,0.0,0.0,-14.826966,0.35,41007022416079046S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
67,,,,W1,,1973,1,,,,,,,,,,6998,,,,,Pre - Code,,,,W1,,,c840abb8-34e2-433a-b5a9-ab6236d6ed6b,5702,1,191,0.0,0.0,-1.037119,0.35,41007020933038001S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
68,,,,W1,,1962,1,,,,,,,,,,6533,,,,,Pre - Code,,,,W1,,,b0b17978-2ff6-48a1-9588-dab4af290db2,5701,1,192,0.0,0.0,-1.120839,0.35,b0b17978-2ff6-48a1-9588-dab4af290db2,,,0,POINT (-123.9140024616318 46.00041822905198)
