parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period
,,,RC,,"2003","6",,,,,,,,,,"287151",,,,,Moderate - Code,,,,RC,,,132eec9b-0a79-4b1c-8bfb-0b439ec84bfa,"2734","1","900",287151.000000000000000,0.000000000000000,-4.639471000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"250810",,,,,Moderate - Code,,,,RC,,,72930e0c-2da0-434f-bed7-9b81b72d4c4c,"2733","1","900",250810.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"234402",,,,,Moderate - Code,,,,RC,,,0b7ed6c5-f6bc-4f14-923f-2b351103f528,"2732","1","900",234402.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"219067",,,,,Moderate - Code,,,,RC,,,86df31ca-f7f4-4890-81d2-6cd29ac15f09,"2731","1","900",219067.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"204735",,,,,Moderate - Code,,,,RC,,,b89cbbb4-086c-490d-9f40-38920cfbdc85,"2730","1","900",204735.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"157233",,,,,Moderate - Code,,,,RC,,,bc688e1c-871e-4aa2-9522-5a113312de22,"2729","1","900",157233.000000000000000,0.000000000000000,-4.611768000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"302093",,,,,Moderate - Code,,,,RC,,,18aa54be-6a87-4fa8-b5f1-e114de3f2fa9,"2728","1","900",302093.000000000000000,0.000000000000000,-4.963661000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"307253",,,,,Moderate - Code,,,,RC,,,5f2d125a-923a-4f90-9657-571896393487,"2727","1","900",307253.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"287151",,,,,Moderate - Code,,,,RC,,,cb9f138b-1cea-41b0-8044-19240da449e0,"2726","1","900",287151.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"193529",,,,,Moderate - Code,,,,RC,,,15514cc1-4a67-4659-b261-5af78cd74943,"2725","1","900",193529.000000000000000,0.000000000000000,-4.963661000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"268366",,,,,Moderate - Code,,,,RC,,,f59a6de2-5136-4085-90aa-0d95d2048923,"2724","1","900",268366.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"250810",,,,,Moderate - Code,,,,RC,,,8bcd9956-f2c8-45fe-9108-5e8d1df6b02d,"2723","1","900",250810.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"234402",,,,,Moderate - Code,,,,RC,,,e92132c8-35e0-4f60-90dd-7161c327341c,"2722","1","900",234402.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"219067",,,,,Moderate - Code,,,,RC,,,4b833e88-4190-496e-9e21-002fdf96c771,"2721","1","900",219067.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"204735",,,,,Moderate - Code,,,,RC,,,e01ed211-40b8-46e5-bc72-362e26a9f308,"2720","1","900",204735.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"192692",,,,,Moderate - Code,,,,RC,,,83a698ea-13e9-4ed7-af9c-2fcf2314522b,"2719","1","900",192692.000000000000000,0.000000000000000,-3.343355000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"180085",,,,,Moderate - Code,,,,RC,,,6629d6e6-4dd9-4cea-b026-a169303630b3,"2718","1","900",180085.000000000000000,0.000000000000000,-3.343355000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"168304",,,,,Moderate - Code,,,,RC,,,c623f4c2-c85b-4eeb-a203-e805b4b9ca91,"2717","1","900",168304.000000000000000,0.000000000000000,-3.343355000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"193529",,,,,Moderate - Code,,,,RC,,,2b553208-d61a-471c-9f65-d2050d5d2d26,"2716","1","900",193529.000000000000000,0.000000000000000,-4.963661000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"157293",,,,,Moderate - Code,,,,RC,,,3dc498af-b9c4-4b90-80e5-4cd50efce1db,"2715","1","900",157293.000000000000000,0.000000000000000,-3.343355000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"282330",,,,,Moderate - Code,,,,RC,,,99dc9afb-c5bb-4ac1-85b9-80ee2053adb8,"2714","1","900",282330.000000000000000,0.000000000000000,-4.940289000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"147003",,,,,Moderate - Code,,,,RC,,,c7dbf978-9363-43ae-98f3-44cd78d4ff2b,"2713","1","900",147003.000000000000000,0.000000000000000,-3.343355000000000,0.750000000000000
,,,RC,,"2003","6",,,,,,,,,,"137385",,,,,Moderate - Code,,,,RC,,,578b476f-9718-4a30-aeda-ca670a329223,"2712","1","900",137385.000000000000000,0.000000000000000,-3.343355000000000,0.750000000000000
,,,RC,,"2001","1",,,,,,,,,,"74674",,,,,Moderate - Code,,,,RC,,,c3c84bea-6b9e-4b3a-aeb2-03ac2c3fee62,"2711","1","440",74674.000000000000000,0.000000000000000,-2.350449000000000,0.400000000000000
,,,RC,,"1955","1",,,,,,,,,,"697155",,,,,Pre - Code,,,,RC,,,264e708a-7741-4914-b832-597a4e6494d4,"2709","1","440",169584.000000000000000,527571.000000000000000,-2.167421000000000,0.400000000000000
,,,RC,,"2003","6",,,,,,,,,,"263860",,,,,Moderate - Code,,,,RC,,,897008f3-abc2-420b-ad4c-4411a357412d,"2708","1","900",263860.000000000000000,0.000000000000000,-5.033701000000000,0.750000000000000
